####################################################################################
####################################################################################
####################################################################################
###                                                                              ###
###                                                                              ###
###  LIBRARY OF TRIANGULATIONS                                                   ###
###  by Bruno Benedetti and Frank H. Lutz                                        ###
###  http://page.math.tu-berlin.de/~lutz/stellar/library_of_triangulations.html  ###
###                                                                              ###
###                                                                              ###
###  name of example:                                                            ###
###                                                                              ###
###    S_3_100_4850                                                              ###
###                                                                              ###
###                                                                              ###
###  description:                                                                ###
###                                                                              ###
###    boundary 3-sphere of the cyclic 4-polytope with 100 vertices              ###
###                                                                              ###
###                                                                              ###
###  properties:                                                                 ###
###                                                                              ###
###    f=(100,4950,9700,4850),                                                   ###
###    H_*=(Z,0,0,Z),                                                            ###
###    perfect discrete Morse vector: (1,0,0,1)                                  ###
###                                                                              ###
###                                                                              ###
###  references:                                                                 ###
###                                                                              ###
###    Folklore.                                                                 ###
###                                                                              ###
###    B. Benedetti and F. H. Lutz.                                              ###
###    Random discrete Morse theory and a new library of triangulations.         ###
###    Exp. Math. 23, 66-94 (2014).                                              ###
###                                                                              ###
###                                                                              ###
####################################################################################
####################################################################################
####################################################################################

1 2 3 4
1 2 3 100
1 2 4 5
1 2 5 6
1 2 6 7
1 2 7 8
1 2 8 9
1 2 9 10
1 2 10 11
1 2 11 12
1 2 12 13
1 2 13 14
1 2 14 15
1 2 15 16
1 2 16 17
1 2 17 18
1 2 18 19
1 2 19 20
1 2 20 21
1 2 21 22
1 2 22 23
1 2 23 24
1 2 24 25
1 2 25 26
1 2 26 27
1 2 27 28
1 2 28 29
1 2 29 30
1 2 30 31
1 2 31 32
1 2 32 33
1 2 33 34
1 2 34 35
1 2 35 36
1 2 36 37
1 2 37 38
1 2 38 39
1 2 39 40
1 2 40 41
1 2 41 42
1 2 42 43
1 2 43 44
1 2 44 45
1 2 45 46
1 2 46 47
1 2 47 48
1 2 48 49
1 2 49 50
1 2 50 51
1 2 51 52
1 2 52 53
1 2 53 54
1 2 54 55
1 2 55 56
1 2 56 57
1 2 57 58
1 2 58 59
1 2 59 60
1 2 60 61
1 2 61 62
1 2 62 63
1 2 63 64
1 2 64 65
1 2 65 66
1 2 66 67
1 2 67 68
1 2 68 69
1 2 69 70
1 2 70 71
1 2 71 72
1 2 72 73
1 2 73 74
1 2 74 75
1 2 75 76
1 2 76 77
1 2 77 78
1 2 78 79
1 2 79 80
1 2 80 81
1 2 81 82
1 2 82 83
1 2 83 84
1 2 84 85
1 2 85 86
1 2 86 87
1 2 87 88
1 2 88 89
1 2 89 90
1 2 90 91
1 2 91 92
1 2 92 93
1 2 93 94
1 2 94 95
1 2 95 96
1 2 96 97
1 2 97 98
1 2 98 99
1 2 99 100
1 3 4 100
1 4 5 100
1 5 6 100
1 6 7 100
1 7 8 100
1 8 9 100
1 9 10 100
1 10 11 100
1 11 12 100
1 12 13 100
1 13 14 100
1 14 15 100
1 15 16 100
1 16 17 100
1 17 18 100
1 18 19 100
1 19 20 100
1 20 21 100
1 21 22 100
1 22 23 100
1 23 24 100
1 24 25 100
1 25 26 100
1 26 27 100
1 27 28 100
1 28 29 100
1 29 30 100
1 30 31 100
1 31 32 100
1 32 33 100
1 33 34 100
1 34 35 100
1 35 36 100
1 36 37 100
1 37 38 100
1 38 39 100
1 39 40 100
1 40 41 100
1 41 42 100
1 42 43 100
1 43 44 100
1 44 45 100
1 45 46 100
1 46 47 100
1 47 48 100
1 48 49 100
1 49 50 100
1 50 51 100
1 51 52 100
1 52 53 100
1 53 54 100
1 54 55 100
1 55 56 100
1 56 57 100
1 57 58 100
1 58 59 100
1 59 60 100
1 60 61 100
1 61 62 100
1 62 63 100
1 63 64 100
1 64 65 100
1 65 66 100
1 66 67 100
1 67 68 100
1 68 69 100
1 69 70 100
1 70 71 100
1 71 72 100
1 72 73 100
1 73 74 100
1 74 75 100
1 75 76 100
1 76 77 100
1 77 78 100
1 78 79 100
1 79 80 100
1 80 81 100
1 81 82 100
1 82 83 100
1 83 84 100
1 84 85 100
1 85 86 100
1 86 87 100
1 87 88 100
1 88 89 100
1 89 90 100
1 90 91 100
1 91 92 100
1 92 93 100
1 93 94 100
1 94 95 100
1 95 96 100
1 96 97 100
1 97 98 100
1 98 99 100
2 3 4 5
2 3 5 6
2 3 6 7
2 3 7 8
2 3 8 9
2 3 9 10
2 3 10 11
2 3 11 12
2 3 12 13
2 3 13 14
2 3 14 15
2 3 15 16
2 3 16 17
2 3 17 18
2 3 18 19
2 3 19 20
2 3 20 21
2 3 21 22
2 3 22 23
2 3 23 24
2 3 24 25
2 3 25 26
2 3 26 27
2 3 27 28
2 3 28 29
2 3 29 30
2 3 30 31
2 3 31 32
2 3 32 33
2 3 33 34
2 3 34 35
2 3 35 36
2 3 36 37
2 3 37 38
2 3 38 39
2 3 39 40
2 3 40 41
2 3 41 42
2 3 42 43
2 3 43 44
2 3 44 45
2 3 45 46
2 3 46 47
2 3 47 48
2 3 48 49
2 3 49 50
2 3 50 51
2 3 51 52
2 3 52 53
2 3 53 54
2 3 54 55
2 3 55 56
2 3 56 57
2 3 57 58
2 3 58 59
2 3 59 60
2 3 60 61
2 3 61 62
2 3 62 63
2 3 63 64
2 3 64 65
2 3 65 66
2 3 66 67
2 3 67 68
2 3 68 69
2 3 69 70
2 3 70 71
2 3 71 72
2 3 72 73
2 3 73 74
2 3 74 75
2 3 75 76
2 3 76 77
2 3 77 78
2 3 78 79
2 3 79 80
2 3 80 81
2 3 81 82
2 3 82 83
2 3 83 84
2 3 84 85
2 3 85 86
2 3 86 87
2 3 87 88
2 3 88 89
2 3 89 90
2 3 90 91
2 3 91 92
2 3 92 93
2 3 93 94
2 3 94 95
2 3 95 96
2 3 96 97
2 3 97 98
2 3 98 99
2 3 99 100
3 4 5 6
3 4 6 7
3 4 7 8
3 4 8 9
3 4 9 10
3 4 10 11
3 4 11 12
3 4 12 13
3 4 13 14
3 4 14 15
3 4 15 16
3 4 16 17
3 4 17 18
3 4 18 19
3 4 19 20
3 4 20 21
3 4 21 22
3 4 22 23
3 4 23 24
3 4 24 25
3 4 25 26
3 4 26 27
3 4 27 28
3 4 28 29
3 4 29 30
3 4 30 31
3 4 31 32
3 4 32 33
3 4 33 34
3 4 34 35
3 4 35 36
3 4 36 37
3 4 37 38
3 4 38 39
3 4 39 40
3 4 40 41
3 4 41 42
3 4 42 43
3 4 43 44
3 4 44 45
3 4 45 46
3 4 46 47
3 4 47 48
3 4 48 49
3 4 49 50
3 4 50 51
3 4 51 52
3 4 52 53
3 4 53 54
3 4 54 55
3 4 55 56
3 4 56 57
3 4 57 58
3 4 58 59
3 4 59 60
3 4 60 61
3 4 61 62
3 4 62 63
3 4 63 64
3 4 64 65
3 4 65 66
3 4 66 67
3 4 67 68
3 4 68 69
3 4 69 70
3 4 70 71
3 4 71 72
3 4 72 73
3 4 73 74
3 4 74 75
3 4 75 76
3 4 76 77
3 4 77 78
3 4 78 79
3 4 79 80
